State,State Abbreviation,State FIPS Code,Public face mask mandate,Public face mask mandate x2,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Business face mask mandate,Ended face mask mandate,Ended face mask mandate x2,Attempt by state government to prevent local governments from implementing face mask orders
Alabama,AL,1,7/16/2020,0,0,0,1,5/11/2020,4/9/2021,0,0
Alaska,AK,2,4/24/2020,0,1,1,0,4/24/2020,5/22/2020,0,0
Arizona,AZ,4,0,0,0,0,1,5/8/2020,3/25/2021,0,3/30/2020
Arkansas,AR,5,7/20/2020,0,1,1,0,5/11/2020,3/30/2021,0,3/30/2021
California,CA,6,6/18/2020,0,0,0,1,5/5/2020,0,0,0
Colorado,CO,8,7/16/2020,0,0,1,0,4/23/2020,0,0,0
Connecticut,CT,9,4/20/2020,0,1,0,0,4/3/2020,0,0,0
Delaware,DE,10,4/28/2020,0,1,1,0,5/1/2020,0,0,0
District of Columbia,DC,11,7/22/2020,0,1,0,0,4/17/2020,0,0,0
Florida,FL,12,0,0,0,0,1,5/11/2020,4/8/2020,0,9/25/2020
Georgia,GA,13,0,0,0,0,1,4/24/2020,4/8/2020,0,7/15/2020
Hawaii,HI,15,11/16/2020,0,1,1,0,6/11/2020,0,0,0
Idaho,ID,16,0,0,0,0,1,0,4/8/2020,0,0
Illinois,IL,17,5/1/2020,0,1,1,0,5/1/2020,0,0,0
Indiana,IN,18,7/27/2020,0,0,0,1,5/1/2020,4/6/2021,0,0
Iowa,IA,19,11/17/2020,0,1,0,0,11/17/2020,2/7/2021,0,0
Kansas,KS,20,7/3/2020,0,1,0,0,7/10/2020,4/1/2021,0,0
Kentucky,KY,21,7/10/2020,0,1,0,0,5/11/2020,0,0,0
Louisiana,LA,22,8/7/2020,0,1,1,0,5/1/2020,0,0,0
Maine,ME,23,5/1/2020,0,1,1,0,5/1/2020,0,0,0
Maryland,MD,24,4/18/2020,0,1,1,0,4/18/2020,0,0,0
Massachusetts,MA,25,5/6/2020,0,1,0,0,5/6/2020,0,0,0
Michigan,MI,26,4/27/2020,10/5/2020,1,1,0,4/27/2020,10/2/2020,0,0
Minnesota,MN,27,7/25/2020,0,1,1,0,7/25/2020,0,0,0
Mississippi,MS,28,8/5/2020,0,0,0,1,5/7/2020,9/30/2020,0,0
Missouri,MO,29,0,0,0,0,1,0,4/8/2020,0,0
Montana,MT,30,7/15/2020,0,0,0,1,7/15/2020,2/12/2021,0,0
Nebraska,NE,31,0,0,0,0,1,0,4/8/2020,0,6/18/2020
Nevada,NV,32,6/26/2020,0,1,1,0,5/9/2020,0,0,0
New Hampshire,NH,33,11/20/2020,0,0,0,1,5/1/2020,4/16/2021,0,0
New Jersey,NJ,34,4/8/2020,0,1,1,0,4/8/2020,0,0,0
New Mexico,NM,35,5/15/2020,0,1,0,0,5/6/2020,0,0,0
New York,NY,36,4/17/2020,0,1,0,0,4/17/2020,0,0,0
North Carolina,NC,37,6/26/2020,0,0,1,0,6/26/2020,0,0,0
North Dakota,ND,38,11/14/2020,0,1,1,0,4/28/2020,1/18/2021,0,0
Ohio,OH,39,7/23/2020,0,1,1,0,4/29/2020,0,0,0
Oklahoma,OK,40,0,0,0,0,1,0,4/8/2020,0,0
Oregon,OR,41,7/1/2020,0,1,1,0,5/9/2020,0,0,0
Pennsylvania,PA,42,7/1/2020,0,0,1,0,4/19/2020,0,0,0
Rhode Island,RI,44,5/8/2020,0,1,0,0,4/18/2020,0,0,0
South Carolina,SC,45,0,0,1,1,0,8/3/2020,4/8/2020,0,0
South Dakota,SD,46,0,0,0,0,1,0,4/8/2020,0,0
Tennessee,TN,47,0,0,0,0,1,0,4/8/2020,0,0
Texas,TX,48,7/3/2020,0,1,0,0,7/3/2020,3/10/2021,0,4/27/2020
Utah,UT,49,4/10/2020,11/9/2020,0,0,1,4/10/2020,4/10/2021,0,0
Vermont,VT,50,8/1/2020,0,0,0,1,4/17/2020,0,0,0
Virginia,VA,51,5/29/2020,0,1,1,0,5/29/2020,0,0,0
Washington,WA,53,6/26/2020,0,1,1,0,6/8/2020,0,0,0
West Virginia,WV,54,7/7/2020,0,1,1,0,5/11/2020,0,0,0
Wisconsin,WI,55,8/1/2020,0,1,0,0,8/1/2020,3/31/2021,0,0
Wyoming,WY,56,12/9/2020,0,1,1,0,5/1/2020,3/16/2021,0,0
Total,,,41,2,31,23,17,45,16,1,6
